ST,NG-STAR_CC
1,1021
2,1401
3,409
4,348
5,1229
6,Ungroupable
7,208
8,26
9,63
10,124
11,845
12,2036
13,3087
14,104
15,15
16,90
17,17
18,17
19,20
20,20
21,Ungroupable
22,127
23,15
24,497
25,348
26,127
27,127
28,127
29,127
30,26
31,26
32,127
33,127
34,311
35,127
36,127
37,127
38,38
39,38
40,Ungroupable
41,Ungroupable
42,42
43,42
44,178
45,3087
46,307
47,142
48,142
49,142
50,1109
51,199
52,190
53,309
54,63
55,63
56,55
57,301
58,63
59,193
60,63
61,182
62,845
63,63
64,63
65,63
66,63
67,63
68,63
69,304
70,889
71,73
72,73
73,73
74,1038
75,63
76,1118
77,79
78,79
79,79
80,79
81,1958
82,84
83,239
84,352
85,239
86,1115
87,239
88,90
89,90
90,90
91,90
92,90
93,90
94,90
95,90
96,90
97,90
98,90
99,90
100,90
101,90
102,90
103,90
104,104
105,471
106,471
107,471
108,883
109,104
110,20
111,90
112,304
113,199
114,199
115,158
116,3165
117,104
118,240
119,79
120,3111
121,158
122,124
123,124
124,124
125,90
126,124
127,127
128,127
129,127
130,151
131,127
132,90
133,38
134,90
135,38
136,90
137,442
138,442
139,442
140,3035
141,3035
142,442
143,3035
144,190
145,26
146,20
147,3035
148,199
149,124
150,90
151,124
152,90
153,1958
154,90
155,38
156,90
157,42
158,158
159,42
160,178
161,1061
162,442
163,124
165,158
167,63
168,168
169,190
170,426
171,1061
172,1061
173,Ungroupable
174,178
175,38
176,231
177,127
178,352
179,178
180,51
181,442
182,63
183,63
184,63
185,63
186,896
187,1038
188,845
189,212
190,190
191,178
192,301
193,213
194,90
195,90
196,90
197,90
198,3035
199,199
200,345
201,38
202,73
203,2454
204,127
205,190
206,20
207,1958
208,127
209,127
210,63
211,63
212,63
213,63
214,307
215,20
216,2092
217,4353
218,127
219,63
220,2889
221,2351
222,137
223,63
224,2047
225,127
226,348
227,348
228,42
229,1271
230,352
231,1958
232,348
233,199
234,190
235,1115
236,4960
237,20
238,1115
239,190
240,63
241,3420
242,213
243,Ungroupable
244,63
245,63
246,63
247,309
248,309
249,309
250,90
251,63
252,124
253,124
254,90
255,90
256,90
257,127
